index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
173,0.7,1,7,3,29.69253,48.96743,19.64437,6.764774,45.36154,39.52114,6.753383,3.933039,2.915516
174,0.7,1,7,4,51.87491,20.72376,31.40911,48.0472,41.85058,6.855844,3.422784,3.422194,6.844978
175,0.7,1,7,5,6.852365,6.852667,6.852309,6.852243,6.852601,6.852546,6.845033,6.845391,6.845301
176,0.7,1,8,1,60.66785,53.92521,59.18332,61.80227,56.78717,55.19838,0.8540951,0.8539805,1.708075
177,0.7,1,8,2,22.09712,35.10927,56.50367,45.20034,9.114524,52.79636,3.957804,9.104529,5.320719
178,0.7,1,8,3,34.76122,56.44546,22.41313,8.856103,52.55636,45.34502,8.844837,5.217608,3.822652
179,0.7,1,8,4,60.66785,23.90163,37.28375,56.48021,48.69514,8.984142,4.487141,4.486294,8.973435
180,0.7,1,8,5,8.980699,8.981184,8.98057,8.980472,8.981086,8.980957,8.97338,8.973993,8.97382
181,0.7,1,9,1,64.21351,56.69565,62.37046,65.35156,59.95956,57.98146,1.004672,1.004534,2.009205
182,0.7,1,9,2,23.11743,37.25553,59.45172,47.43362,10.1698,55.7092,4.429295,10.15991,5.958682
183,0.7,1,9,3,36.84733,59.38637,23.49339,9.875739,55.42861,47.60815,9.864544,5.843198,4.277968
184,0.7,1,9,4,64.21351,25.14951,39.74702,59.92745,51.41949,10.02119,5.005766,5.004797,10.01056
185,0.7,1,9,5,10.01776,10.01835,10.01759,10.01747,10.01824,10.01806,10.01044,10.0112,10.01098
186,0.7,1,10,1,72.4789,63.07206,69.64023,73.54769,67.36161,64.29742,1.465288,1.465084,2.930371
187,0.7,1,10,2,25.43085,42.48495,66.17022,52.42596,13.22754,62.50388,5.840323,13.21793,7.797154
188,0.7,1,10,3,41.89612,66.08802,25.99288,12.83491,62.10258,52.69785,12.82395,7.652088,5.645379
189,0.7,1,10,4,72.4789,28.00249,45.7936,68.1086,57.67023,13.02816,6.509533,6.508225,13.01776
190,0.7,1,10,5,13.02477,13.0257,13.02441,13.02425,13.02554,13.02518,13.01738,13.01867,13.01825
191,0.7,1,11,1,79.8954,68.75761,75.98771,80.80257,74.04411,69.80967,2.083385,2.083101,4.166484
192,0.7,1,11,2,27.58174,47.65748,72.04327,56.65887,17.06601,68.70754,7.697503,17.05673,10.08093
193,0.7,1,11,3,46.83509,71.94947,28.39254,16.55899,68.15268,57.07348,16.54835,9.913864,7.450379
194,0.7,1,11,4,79.8954,30.58608,51.76717,75.69833,63.1339,16.80698,8.399282,8.397594,16.79688
195,0.7,1,11,5,16.80364,16.80511,16.80296,16.80273,16.80488,16.8042,16.79608,16.79823,16.79747
196,0.7,1,12,1,82.63115,70.86666,78.29581,83.45488,76.52819,71.82545,2.390147,2.389829,4.779974
197,0.7,1,12,2,28.4719,49.7614,74.18393,58.17087,18.88952,71.05925,8.609641,18.88039,11.15673
198,0.7,1,12,3,48.82711,74.08866,29.40281,18.33118,70.43177,58.6605,18.32071,10.98565,8.337159
199,0.7,1,12,4,82.63115,31.59897,54.17186,78.58433,65.11053,18.60346,9.297674,9.295825,18.5935
200,0.7,1,12,5,18.60015,18.60191,18.59928,18.59901,18.60165,18.60078,18.59247,18.5951,18.59413
201,0.7,1,13,1,84.92037,72.64513,80.21834,85.66511,78.61832,73.51435,2.694303,2.693955,5.388256
202,0.7,1,13,2,29.30352,51.6414,75.97005,59.42331,20.65283,73.07043,9.508526,20.64385,12.19186
203,0.7,1,13,3,50.59886,75.87593,30.34996,20.04641,72.37329,59.98956,20.0361,12.02104,9.210537
204,0.7,1,13,4,84.92037,32.50656,56.30016,81.04662,66.74954,20.34128,10.16673,10.16473,20.33146
205,0.7,1,13,5,20.338,20.34006,20.33691,20.33662,20.33977,20.33868,20.33018,20.33332,20.33213
206,0.7,1,14,1,88.52588,75.48882,83.24139,89.13154,81.93814,76.19819,3.293308,3.292911,6.586217
207,0.7,1,14,2,30.88719,54.90165,78.78541,61.39502,24.00892,76.35147,11.26282,24.00021,14.14921
208,0.7,1,14,3,53.65389,78.70053,32.14794,23.31445,75.52379,62.11737,23.30445,13.9907,10.91238
209,0.7,1,14,4,88.52588,34.13853,59.9331,85.03364,69.31201,23.65027,11.82148,11.81924,23.64071
210,0.7,1,14,5,23.64707,23.64975,23.64549,23.64516,23.64942,23.64784,23.6389,23.64316,23.64147
211,0.75,1,1,1,14.91254,14.53825,14.97976,15.07971,14.64121,14.70967,0.03630507,0.03630348,0.07260854
212,0.75,1,1,2,6.151978,8.624286,14.76209,12.07136,1.475468,13.49998,0.6910621,1.464224,0.7738113
213,0.75,1,1,3,8.610088,14.76016,6.1645,1.461399,13.49062,12.07742,1.449776,0.7677607,0.6827029
214,0.75,1,1,4,14.91254,6.224407,8.699608,13.63073,12.20069,1.468452,0.7285253,0.7284822,1.457008
215,0.75,1,1,5,1.464778,1.464803,1.464785,1.464777,1.464795,1.464802,1.457154,1.457172,1.457172
216,0.75,1,2,1,23.31456,22.36054,23.39844,23.67922,22.65419,22.7405,0.05612672,0.05612293,0.1122496
217,0.75,1,2,2,10.21809,12.68174,22.88799,19.11117,1.48455,20.53422,0.6744062,1.473366,0.8007489
218,0.75,1,2,3,12.65942,22.88415,10.23686,1.463363,20.51907,19.11973,1.451594,0.7908755,0.6626192
219,0.75,1,2,4,23.31456,10.42653,12.89693,20.90523,19.47845,1.473967,0.7312732,0.7312066,1.46248
