index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
204,0.7,1,13,4,84.92037,42.86946,47.39686,75.44989,72.69106,17.86079,8.927298,8.92486,17.85216
205,0.7,1,13,5,17.85971,17.85989,17.85777,17.85824,17.86035,17.85841,17.85257,17.85469,17.85266
206,0.7,1,14,1,88.52588,75.43881,82.31923,88.57294,82.21751,75.49404,3.099098,3.098369,6.197465
207,0.7,1,14,2,41.73373,44.34186,78.01418,67.55132,21.05216,69.19323,9.376627,21.04386,13.02396
208,0.7,1,14,3,43.42337,78.53805,42.7514,20.48006,68.9926,68.57146,20.47196,12.83645,9.036549
209,0.7,1,14,4,88.52588,45.6277,49.8277,78.64976,76.05816,20.75672,10.37562,10.3727,20.74833
210,0.7,1,14,5,20.75624,20.75646,20.7536,20.75426,20.75712,20.75447,20.74877,20.75163,20.74888
211,0.75,1,1,1,14.91254,14.53692,14.97798,15.07896,14.64094,14.70759,0.03446113,0.03445945,0.06892056
212,0.75,1,1,2,6.662322,8.195686,14.75676,12.34405,1.335381,13.23474,0.6229242,1.325147,0.7028182
213,0.75,1,1,3,8.187119,14.76308,6.676004,1.322549,13.23361,12.35591,1.31208,0.6972351,0.6154313
214,0.75,1,1,4,14.91254,6.720562,8.287053,13.37849,12.46894,1.328976,0.659328,0.6592864,1.318614
215,0.75,1,1,5,1.325651,1.325665,1.325652,1.32564,1.325653,1.325654,1.31874,1.318753,1.318747
216,0.75,1,2,1,23.31456,22.35765,23.39411,23.67728,22.65377,22.73564,0.05327216,0.0532683,0.1065404
217,0.75,1,2,2,10.73053,12.22174,22.87846,19.38869,1.367065,20.25212,0.6185002,1.356663,0.7398325
218,0.75,1,2,3,12.20826,22.88798,10.75227,1.347372,20.25003,19.40703,1.336632,0.7306374,0.6076959
219,0.75,1,2,4,23.31456,10.91887,12.46298,20.64435,19.75055,1.357225,0.6733534,0.6732894,1.346643
220,0.75,1,2,5,1.353791,1.353805,1.353792,1.353776,1.353789,1.35379,1.346729,1.346742,1.346737
221,0.75,1,3,1,27.10427,25.79102,27.16376,27.56715,26.21554,26.27704,0.06157038,0.0615653,0.1231357
222,0.75,1,3,2,12.54775,14.00138,26.48193,22.51988,1.375609,23.36104,0.6145532,1.36517,0.7530533
223,0.75,1,3,3,13.98572,26.49286,12.57305,1.353061,23.35852,22.54109,1.342248,0.7423112,0.602446
224,0.75,1,3,4,27.10427,12.82459,14.34025,23.9172,23.04038,1.364337,0.6768865,0.676813,1.3537
225,0.75,1,3,5,1.360877,1.360892,1.360878,1.36086,1.360873,1.360875,1.353776,1.353789,1.353784
226,0.75,1,4,1,32.32487,30.4318,32.31263,32.92369,31.07986,31.06714,0.1448052,0.1447909,0.289596
227,0.75,1,4,2,14.51759,17.0886,31.37177,26.4441,2.669189,27.93835,1.17788,2.659052,1.489793
228,0.75,1,4,3,17.05071,31.39782,14.57627,2.618257,27.93224,26.49434,2.607726,1.467137,1.149456
229,0.75,1,4,4,32.32487,14.90877,17.62558,28.80303,27.22543,2.643696,1.316755,1.316585,2.63334
230,0.75,1,4,5,2.640401,2.640431,2.640382,2.640362,2.640411,2.640392,2.633471,2.63352,2.633488
231,0.75,1,5,1,37.04048,34.53367,36.91315,37.75613,35.43331,35.30018,0.2454815,0.2454537,0.4909351
232,0.75,1,5,2,16.36226,19.82458,35.71402,29.96336,3.915049,31.98586,1.708451,3.905141,2.216492
233,0.75,1,5,3,19.75932,35.75833,16.45985,3.832148,31.97525,30.04848,3.821839,2.181401,1.660836
234,0.75,1,5,4,37.04048,16.87615,20.58399,33.19934,31.03706,3.873506,1.931824,1.931541,3.863365
235,0.75,1,5,5,3.870355,3.8704,3.870295,3.870281,3.870385,3.870325,3.863539,3.863644,3.863564
